Feature,Importance
remainder__CREDIT_UTILIZATION_PERCENTAGE,0.21366171836853026
categorical__LOAN_STATUS_Rejected,0.14815450459718704
remainder__ACCOUNT_BALANCE,0.13763000592589378
remainder__CREDIT_CARD_BALANCE,0.09148906469345093
remainder__MINIMUM_PAYMENT_DUE,0.06610370092093945
categorical__LOAN_STATUS_Closed,0.05034340471029282
remainder__ANOMALY,0.042130705714225766
remainder__CREDIT_LIMIT,0.03976342678070068
categorical__LOAN_STATUS_Approved,0.03379172515124083
remainder__ACCOUNT_BALANCE_AFTER_TRANSACTION,0.02494916841387749
remainder__REWARDS_POINTS,0.02375413237605244
remainder__TRANSACTION_AMOUNT,0.011863467190414667
remainder__LOAN_AMOUNT,0.008566659619100392
remainder__LAST_TRANSACTION_DATE_DAY,0.005181454005651176
categorical__TRANSACTION_TYPE_Deposit,0.00499666032847017
remainder__ACCOUNT_AGE_DAYS,0.004956893855705857
remainder__DAYS_TO_PAYMENT_DUE,0.00489203268662095
remainder__DATE_OF_ACCOUNT_OPENING_YEAR,0.0047566181980073455
remainder__INTEREST_RATE,0.004568028025096283
remainder__DATE_OF_ACCOUNT_OPENING_MONTH,0.004095882386900484
remainder__LAST_CREDIT_CARD_PAYMENT_DATE_DAYOFWEEK,0.0040825444157235324
categorical__CARD_TYPE_MasterCard,0.003965661604888737
remainder__APPROVAL_REJECTION_DATE_DAY,0.003951522568240762
remainder__TRANSACTION_DATE_DAY,0.0039014241890981795
remainder__TRANSACTION_DATE_MONTH,0.003762147878296673
remainder__PAYMENT_DUE_DATE_DAY,0.0037043304182589054
remainder__LAST_CREDIT_CARD_PAYMENT_DATE_DAY,0.003686257125809789
remainder__LAST_TRANSACTION_DATE_DAYOFWEEK,0.00363544694846496
remainder__PAYMENT_DUE_DATE_DAYOFWEEK,0.003607453918084502
remainder__APPROVAL_REJECTION_DATE_MONTH,0.003604855574667454
remainder__DAYS_SINCE_LAST_TRANSACTION,0.0034623741405084727
remainder__DATE_OF_ACCOUNT_OPENING_DAY,0.003331668465398252
remainder__DAYS_SINCE_LAST_CARD_PAYMENT,0.002618904912378639
categorical__LOAN_TYPE_Mortgage,0.002555545908398926
remainder__LAST_TRANSACTION_DATE_MONTH,0.0024099168367683887
categorical__LOAN_TYPE_Personal,0.0023583589121699334
remainder__TRANSACTION_DATE_DAYOFWEEK,0.002002008305862546
remainder__DATE_OF_ACCOUNT_OPENING_DAYOFWEEK,0.0019451170926913619
categorical__TRANSACTION_TYPE_Transfer,0.001814490114338696
remainder__LOAN_TERM,0.0017671968322247266
remainder__APPROVAL_REJECTION_DATE_YEAR,0.0016844027442857624
categorical__CARD_TYPE_Visa,0.0016540799057111143
remainder__APPROVAL_REJECTION_DATE_DAYOFWEEK,0.0016533408779650927
categorical__ACCOUNT_TYPE_Current,0.0013374335016123951
categorical__CARD_TYPE_AMEX,0.0012942139059305192
remainder__PAYMENT_DUE_DATE_MONTH,0.0012516884540673344
remainder__LAST_CREDIT_CARD_PAYMENT_DATE_MONTH,0.00114573446335271
categorical__TRANSACTION_TYPE_Withdrawal,0.0010540307499468326
categorical__LOAN_TYPE_Auto,0.0006871276069432497
categorical__ACCOUNT_TYPE_Savings,0.00042147724889218807
remainder__LAST_TRANSACTION_DATE_IS_MISSING,0.0
remainder__DATE_OF_ACCOUNT_OPENING_IS_MISSING,0.0
remainder__TRANSACTION_DATE_YEAR,0.0
remainder__LAST_TRANSACTION_DATE_YEAR,0.0
remainder__APPROVAL_REJECTION_DATE_IS_MISSING,0.0
remainder__TRANSACTION_DATE_IS_MISSING,0.0
remainder__PAYMENT_DUE_DATE_YEAR,0.0
remainder__PAYMENT_DUE_DATE_IS_MISSING,0.0
remainder__LAST_CREDIT_CARD_PAYMENT_DATE_YEAR,0.0
remainder__LAST_CREDIT_CARD_PAYMENT_DATE_IS_MISSING,0.0
remainder__ACCOUNT_BALANCE_IS_MISSING,0.0
remainder__TRANSACTION_AMOUNT_IS_MISSING,0.0
remainder__ACCOUNT_BALANCE_AFTER_TRANSACTION_IS_MISSING,0.0
remainder__CREDIT_UTILIZATION_PERCENTAGE_IS_MISSING,0.0
